text,source,date,url,truth_score,verdict
"India’s biggest risk is not the macro, it’s investor expectations: Kalpen Parekh, MD & CEO, DSP Mutual Fund",The Times of India,2026-02-16T01:00:00Z,,83.11,TRUE
"Why This Computer Scientist Says All Cryptocurrency Should ""Die in a Fire""",Currentaffairs.org,2026-02-04T16:59:29Z,,80.34,TRUE
"Stock Market Highlights: Sensex, Nifty trade in narrow range amid cautious investor sentiment",BusinessLine,2026-02-11T10:47:32Z,,87.22,TRUE
"JL Goes International, and to ETFs…… Oh my!",Jlcollinsnh.com,2026-02-09T00:45:25Z,,80.34,TRUE
"Stocks in news: Vishal Mega Mart, Bandhan Bank, Indian Oil, Bharti Airtel, BPCL",The Times of India,2026-02-27T01:08:38Z,,92.01,TRUE
Brokers forced to rethink funding playbook as India curbs loans,Bloomberg,2026-02-16T10:35:57Z,,80.34,TRUE
Ray Dalio warns the world is ‘on the brink’ of a capital war of weaponizing money—and gold is the best way for people to protect themselves,Fortune,2026-02-04T19:43:56Z,,80.34,TRUE
Are REITs emerging as the new alternative to mutual funds?,Livemint,2026-02-25T05:45:01Z,,90.44,TRUE
"Know Your Fund Manager | Basant Bafna, Head – Fixed Income, Mirae Asset",Economictimes.com,2026-02-21T06:41:48Z,,72.7,TRUE
"Top Business & Market Headlines Today — BL Morning Report, Feb 10, 2026",BusinessLine,2026-02-09T16:09:50Z,,87.31,TRUE
Stock Market Live: Stock to buy today: Sammaan Capital,BusinessLine,2026-02-26T01:22:03Z,,60.82,TRUE
"Stock Market Live Updates February 17: Stock to buy today: Cummins India (₹4,520.65) – BUY",BusinessLine,2026-02-17T01:18:03Z,,70.32,TRUE
Rising Middle East tensions lift gold as capital flight to safety continues,Cointelegraph,2026-02-26T12:15:34Z,,80.34,TRUE
Your toughest investment opponent is yourself: Bajaj Finserv MF's Ganesh Mohan,Livemint,2026-02-16T07:43:11Z,,92.5,TRUE
"Top Business & Market Headlines Today — BL Morning Report, Feb 12, 2026",BusinessLine,2026-02-11T16:12:22Z,,87.31,TRUE
"CleanMax Enviro Energy IPO subscribed 79% so far on last day, retail interest muted",BusinessLine,2026-02-25T09:42:11Z,,88.62,TRUE
"Gold, silver get bigger role as SEBI tweaks MF valuation rules: A hedge against global uncertainty and exchange rate volatility?",The Times of India,2026-02-27T09:43:50Z,,93.06,TRUE
"RBI opens bank lending for real estate trusts, draft norms to be issued soon",Livemint,2026-02-06T11:07:18Z,,89.75,TRUE
Old Bridge AMC sees value in export-oriented companies,BusinessLine,2026-02-11T12:43:48Z,,80.34,TRUE
"SEBI Chairman says innovation should flourish, but not at cost of ‘market integrity’",BusinessLine,2026-02-20T12:02:25Z,,90.62,TRUE
"We have a lot of conviction in small & mid caps, says Vaiibhavv Chugh of Abakkus Mutual Fund",Livemint,2026-02-17T05:11:23Z,,90.4,TRUE
Exclusive analysis: we looked at the 400 western firms still in Russia. Their paltry size strips Putin’s bluff bare naked,Fortune,2026-02-27T13:30:00Z,,80.34,TRUE
DII flows into equity hit 10-month low in February,The Times of India,2026-02-27T00:04:40Z,,80.34,TRUE
"Bharti Airtel shares in focus as company plans Rs 20,000 crore NBFC investment",The Times of India,2026-02-24T03:29:10Z,,92.5,TRUE
"New rules for M&A financing, loans against shares",The Times of India,2026-02-13T19:38:39Z,,89.25,TRUE
"MFs’ Bets: 15 smallcap stocks turn volatile, tumble up to 50% in 3 months. Do you own any?",Economictimes.com,2026-02-03T08:09:02Z,,90.36,TRUE
Arbitrage funds: Profiting from price gaps in volatile market,BusinessLine,2026-03-01T05:36:49Z,,87.31,TRUE
"Explained: What new RBI norms mean for BSE, MCX, stock brokers and prop traders",The Times of India,2026-02-16T05:29:28Z,,82.36,TRUE
SIFs: The next era of investing,The Times of India,2026-02-09T06:13:41Z,,80.34,TRUE
Ahead of Market: 10 things that will decide stock market action on Tuesday,The Times of India,2026-02-23T15:37:09Z,,79.67,TRUE
HDFC Defence Fund exists this small cap stock that went up by 500% in 5 years,Economictimes.com,2026-02-14T04:07:29Z,,70.01,TRUE
Coffee Break: The Mask of Unreality Slipping?,Nakedcapitalism.com,2026-02-02T19:00:55Z,,80.34,TRUE
Can the India-US trade deal alone arrest rupee’s downfall?,The Times of India,2026-02-12T22:30:00Z,,80.34,TRUE
RBI greenlights SBI Mutual Fund's plan to buy up to 9.99% in Bandhan Bank,The Times of India,2026-02-26T11:04:42Z,,90.73,TRUE
American unexceptionalism: Foreign markets leave U.S. stocks in the dust,Fortune,2026-02-11T11:06:00Z,,92.3,TRUE
"Stock Market Highlights: Sensex closes 558 points lower at 83,674, Nifty 50 slides 146 points to 25,807",BusinessLine,2026-02-12T11:13:42Z,,84.65,TRUE
Gaudium IVF ends 1.87% higher at ₹80.48 after listing higher,BusinessLine,2026-02-27T13:21:59Z,,80.34,TRUE
"BSE, MCX, Angel One, Groww shares fall up to 10%. Here’s why",The Times of India,2026-02-16T04:54:41Z,,80.34,TRUE
"Only index funds, no stock picking: How you can grow wealth the simple way",Economictimes.com,2026-02-12T07:38:30Z,,47.36,FAKE
"AI tailwinds & IT stocks: Why Infosys, TCS, HCLTech and Wipro stocks are rising",BusinessLine,2026-02-19T05:27:37Z,,84.1,TRUE
"Motilal Oswal Alternates raises Rs 1,700-crore fund",The Times of India,2026-02-27T00:14:33Z,,86.87,TRUE
Don’t ignore E-Voting,BusinessLine,2026-02-16T15:30:55Z,,54.42,TRUE
Will secondary market SGB maturity returns now be taxed? Budget 2026 has changed the rules,Economictimes.com,2026-02-04T07:40:18Z,,73.13,TRUE
SEBI looking at reshuffling of advisory committee members,BusinessLine,2026-02-20T14:01:51Z,,89.2,TRUE
MF Tracker: Can this 3 and 5 year top performer PSU fund extend its winning streak?,Economictimes.com,2026-02-05T03:54:19Z,,89.31,TRUE
Indian market is 18 months ahead of its fair value: DSP Mutual Fund's Kalpen Parekh,Livemint,2026-02-12T05:56:14Z,,91.33,TRUE
Budget 2026: Now save TDS by submitting single form 15G/H for these securities,The Times of India,2026-02-01T11:25:32Z,,80.34,TRUE
Whiteoak Capital Flexicap Fund: Should you invest?,BusinessLine,2026-02-14T16:03:32Z,,86.87,TRUE
RBI nod for leveraged buyouts fails to evoke banker enthusiasm; mixed response to broker lending norms,Livemint,2026-02-16T00:28:49Z,,73.44,TRUE
Sebi mandates market intermediaries to disclose registration details on social media from May 1,The Times of India,2026-02-26T13:40:05Z,,90.62,TRUE
"2026 KTM 250 Duke launched in India: Prices, changes explained",The Times of India,2026-02-25T11:36:10Z,,87.72,TRUE
Budget 2026: Sitharaman backs private developers with new Infrastructure Risk Guarantee Fund,The Times of India,2026-02-01T09:11:14Z,,81.1,TRUE
"Earnings recovery to support markets in FY27; private capex, manufacturing top bets: Dikshit Mittal",The Times of India,2026-02-17T04:05:05Z,,90.65,TRUE
Sebi cautions investors against fake notices demanding STT payments,The Times of India,2026-02-26T16:26:28Z,,89.2,TRUE
SBI in talks with Japanese lenders for M&A financing,The Times of India,2026-02-21T04:50:28Z,,80.34,TRUE
"Unclaimed bank deposits of Rs 72,454 crore lying with DEA Fund: MoS Finance",The Times of India,2026-02-10T16:28:20Z,,89.03,TRUE
‘Needle hunting’ starts pricking stock investors,BusinessLine,2026-02-14T16:50:23Z,,47.36,FAKE
"D-Street does a jig! India–US trade deal lifts sentiment, but earnings to drive market returns",The Times of India,2026-02-04T01:17:52Z,,80.38,TRUE
"Worst is over for Indian markets, 2026 set for outperformance: Sandeep Tandon",The Times of India,2026-02-09T08:55:47Z,,88.59,TRUE
Dividend-yield funds have beaten flexi caps over the past decade. Should you invest in them?,Livemint,2026-02-22T01:30:15Z,,80.34,TRUE
"SEBI stalls new exchanges' entry into options market, sources say",BusinessLine,2026-02-10T08:37:03Z,,92.53,TRUE
This Indian smallcap fund beating 93% of peers bets on internet value stocks,The Times of India,2026-02-19T03:54:32Z,,92.6,TRUE
Sun Pharma: What should investors do?,BusinessLine,2026-02-14T15:48:29Z,,80.34,TRUE
"The Union Budget disappoints with surprise tax hike, investors say",Bloomberg,2026-02-02T07:37:30Z,,80.34,TRUE
Gift City IFSC: All about investing for residents and NRIs,BusinessLine,2026-02-28T16:27:05Z,,80.34,TRUE
How investors should invest in mutual funds in today's environment,Livemint,2026-02-16T01:30:11Z,,86.87,TRUE
India ETF Bucks Emerging-Market Stock Selloff On US Trade Deal,Ndtvprofit.com,2026-02-03T02:08:18Z,,47.36,FAKE
How one AI company is helping businesses navigate Trump’s new tariff chaos following the Supreme Court ruling,Fortune,2026-02-24T19:39:56Z,,76.26,TRUE
"Industry, market experts laud India-US trade deal as win-win",BusinessLine,2026-02-03T00:58:53Z,,89.26,TRUE
Nigeria’s public debt rose to N153tn in Sept 2025 – DMO,The Punch,2026-02-20T23:55:06Z,,80.34,TRUE
"CAs’ body flags hurdles in research analyst registration, seeks clarity from SEBI",BusinessLine,2026-02-27T13:58:38Z,,89.2,TRUE
Sebi chairperson flags misuse of SME framework,The Times of India,2026-02-12T00:34:33Z,,91.74,TRUE
Michael Hudson and Vijay Prashad: How Hyper-Imperialism Shapes Global Conflict,Nakedcapitalism.com,2026-02-02T14:55:21Z,,87.31,TRUE
"Silver, Gold ETFs and SEBI’s measured framework",BusinessLine,2026-02-20T13:07:29Z,,89.25,TRUE
"Tariff cut to open door wider for exports, lift rupee, fund inflows: Nirmala Sitharaman",The Times of India,2026-02-04T00:30:00Z,,90.36,TRUE
"ETMarkets Smart Talk | Financials, manufacturing and consumption to lead in 2026 as India’s structural story strengthens: Raghav Iyengar",The Times of India,2026-02-18T03:30:00Z,,80.34,TRUE
DBS Bank India targets ‘mass affluent’ customers in pivot to universal banking,Livemint,2026-02-19T09:39:05Z,,80.34,TRUE
Celebration street! Rupee takes biggest leap in 7 years; stock markets jump 2.5%,The Times of India,2026-02-04T01:08:16Z,,47.36,FAKE
Read the complete transcript of Trump’s 2026 State of the Union,Boston Herald,2026-02-25T12:06:50Z,,80.34,TRUE
Freight fright: Gaming giants Sony and Nintendo see stocks slide as shipping routes rerouted,EODHD,2026-03-02T06:22:43+00:00,,90.36,TRUE
Genentech's Fenebrutinib Confirms Its Potential as First and Only BTK Inhibitor for Relapsing and Primary Progressive MS in Third Positive Phase III Study (FENhance 1),EODHD,2026-03-02T06:10:00+00:00,,89.56,TRUE
Palo Alto Networks To Establish Secure Foundation For AI Economy Through Ecosystem Collaboration,EODHD,2026-03-02T06:05:52+00:00,,56.51,TRUE
What are expat mortgages and how high are the interest rates?,EODHD,2026-03-02T06:00:25+00:00,,88.62,TRUE
[Ad hoc announcement pursuant to Art. 53 LR] Roche's fenebrutinib confirms its potential as first and only BTK inhibitor for relapsing and primary progressive MS in third positive Phase III study (FENhance 1),EODHD,2026-03-02T06:00:00+00:00,,89.56,TRUE
Santander and Mastercard complete live payment executed by AI agent,EODHD,2026-03-02T06:00:00+00:00,,56.51,TRUE
Britain’s old-economy giants are the City’s new favourite trade,EODHD,2026-03-02T06:00:00+00:00,,89.25,TRUE
Press Release: Sanofi’s rilzabrutinib earns orphan drug designation in Japan for IgG4-related disease,EODHD,2026-03-02T06:00:00+00:00,,80.34,TRUE
"CoinEx Updates Latest Proof of Reserve, Reinforcing Its Commitment to Ensuring User Security",EODHD,2026-03-02T05:47:00+00:00,,89.48,TRUE
"India's central bank likely steps in as oil price surge hurts rupee, traders say",EODHD,2026-03-02T05:43:28+00:00,,80.34,TRUE
European Shares Poised For Big Losses Amid Geopolitical Tensions,EODHD,2026-03-02T05:42:14+00:00,,87.72,TRUE
GeoPark (GPRK) Q4 2025 Earnings Call Transcript,EODHD,2026-03-02T05:37:34+00:00,,87.59,TRUE
USD/INR refreshes monthly high as oil prices spike amid US-Iran war,EODHD,2026-03-02T05:31:17+00:00,,87.72,TRUE
 LERØY SEAFOOD GROUP ASA KAPITALMARKEDSDAG 2026: ØKT AVKASTNING DREVET AV BÆREKRAFTIG VEKST MED KOSTNADS- OG KAPITALDISIPLIN,EODHD,2026-03-02T05:30:00+00:00,,80.34,TRUE
LERØY SEAFOOD GROUP ASA CMD 2026: INCREASED RETURNS DRIVEN BY SUSTAINABLE GROWTH WITH COST AND CAPITAL DISCIPLINE,EODHD,2026-03-02T05:30:00+00:00,,77.84,TRUE
War shock: Global markets plummet as U.S.-Iran conflict escalates,EODHD,2026-03-02T05:27:45+00:00,,87.31,TRUE
Silver Price Forecast: XAG/USD declines below $94.00 amid renewed US Dollar demand,EODHD,2026-03-02T05:24:58+00:00,,87.72,TRUE
Ethereum’s Massive Slump Continues With Sixth Straight Red Month,EODHD,2026-03-02T05:24:00+00:00,,80.34,TRUE
"Can MercadoLibre Stock Get to $2,000?",EODHD,2026-03-02T05:20:00+00:00,,47.36,FAKE
EUR/USD recovers some early losses driven by rising energy prices amid US-Iran war,EODHD,2026-03-02T05:10:01+00:00,,87.72,TRUE
"GBP/JPY recovers nearly 150 pips intraday, eyes mid-210.00s amid weaker JPY",EODHD,2026-03-02T05:09:19+00:00,,87.72,TRUE
Onto Innovation Balances Record Sales With Margin Pressure And Rising Risks,EODHD,2026-03-02T05:07:06+00:00,,80.34,TRUE
Why Illumina (ILMN) Is Up 14.3% After Launching TruPath Genome And Expanding Rare-Disease Sequencing,EODHD,2026-03-02T05:06:29+00:00,,80.34,TRUE
Okeanis Eco Tankers Corp. – Ex Dividend Date,EODHD,2026-03-02T05:00:00+00:00,,80.34,TRUE
Alibaba Group Holding Ltd Investigated by the Portnoy Law Firm,EODHD,2026-03-02T05:00:00+00:00,,80.34,TRUE
U.S.–Iran Conflict Shakes Markets: TRWD Says Growth Strategy Remains Intact,EODHD,2026-03-02T05:00:00+00:00,,76.1,TRUE
"Computer Vision Image Software Market Set to Hit USD 52.49 Billion by 2035, Driven by AI-Powered Visual Intelligence and Automation | Report by SNS Insider",EODHD,2026-03-02T05:00:00+00:00,,73.14,TRUE
"Wind River Announces Strategic Collaboration with AMD, Delivering Industry’s First Unified O-RAN and AI-RAN Platform",EODHD,2026-03-02T05:00:00+00:00,,88.6,TRUE
Aptiv and Wind River Showcase Network V2X Solution for Sensor Sharing Leveraging Verizon’s Connected Driving Platform,EODHD,2026-03-02T05:00:00+00:00,,80.34,TRUE
"AWS UAE data center hit by 'objects,' power down in one availability zone",EODHD,2026-03-02T04:56:45+00:00,,80.34,TRUE
U.S. Dollar Strengthens on Liquidity Demand Amid Middle East Conflict,EODHD,2026-03-02T04:51:00+00:00,,87.72,TRUE
"Quant snapshot: Impala Platinum, Turkcell Iletisim lead strong buys as Evolus lag",EODHD,2026-03-02T04:48:16+00:00,,87.59,TRUE
Bitget Lists Fabric Protocol (ROBO) for Spot Trading,EODHD,2026-03-02T04:34:00+00:00,,37.87,FAKE
"Australian LNG stocks surge after Strait of Hormuz halt disrupts global supply; Woodside, Santos, and Inpex rally",EODHD,2026-03-02T04:32:28+00:00,,91.26,TRUE
Australian Dollar fills weekly bearish gap against retreating USD; AUD/USD retakes 0.7100,EODHD,2026-03-02T04:31:49+00:00,,80.34,TRUE
EUR/GBP steadies above 0.8750 ahead of German Retail Sales data,EODHD,2026-03-02T04:30:41+00:00,,80.34,TRUE
Indian Shares Deep In Red As US-Iran Conflict Deepens,EODHD,2026-03-02T04:25:01+00:00,,88.59,TRUE
"Lightspeed Makes a Big Bet on Self-Driving Trucks, Loading Up on 7 Million Shares of Kodiak AI (KDK)",EODHD,2026-03-02T04:23:49+00:00,,56.51,TRUE
A Look At Targa Resources (TRGP) Valuation After Strong Q4 Results And Higher Dividend Outlook,EODHD,2026-03-02T04:23:32+00:00,,92.03,TRUE
EssilorLuxottica Lawsuit Puts Tariff Refund Risks And Valuation In Focus,EODHD,2026-03-02T04:23:29+00:00,,80.34,TRUE
Comfort Systems USA Backlog And Dividend Rise After Transformative FY2025,EODHD,2026-03-02T04:23:08+00:00,,80.34,TRUE
A Look At Fresnillo’s Valuation After A Strong Recent Share Price Rally,EODHD,2026-03-02T04:22:50+00:00,,87.59,TRUE
NVIDIA’s Sovereign AI Deals And Meta Alliance Shape Valuation Debate,EODHD,2026-03-02T04:21:33+00:00,,56.51,TRUE
"Wall Street Says Forget AI Chips, and Buy AI Software Stocks Instead for 2026",EODHD,2026-03-02T04:20:00+00:00,,68.57,TRUE
"Bitget Publishes February 2026 Proof of Reserves, Maintaining 169% Total Reserve Ratio",EODHD,2026-03-02T04:11:00+00:00,,80.34,TRUE
Amazon Cloud Suffers Outage After ‘Objects’ Hit UAE Data Center,EODHD,2026-03-02T04:10:18+00:00,,80.34,TRUE
"Dow futures plunge 500+ points as U.S.-Iran conflict escalates; gold, oil rise, crypto rebounds",EODHD,2026-03-02T04:08:34+00:00,,80.34,TRUE
Chinese Automakers’ Sales Largely Fail to Gallop Into New Year,EODHD,2026-03-02T04:07:00+00:00,,89.25,TRUE
"Cloud Native Security Service Market Set to Hit USD 129.23 Billion by 2035, Driven by Rising Cloud Cyber Threats and Zero-Trust Adoption | Report by SNS Insider",EODHD,2026-03-02T04:00:00+00:00,,73.14,TRUE
USD/CAD Price Forecast: Vulnerable below 200-SMA on H4 as Oil rallies on supply concerns,EODHD,2026-03-02T03:58:13+00:00,,87.72,TRUE
Economists Gauge Hit From Mideast War as China Seen Among Losers,EODHD,2026-03-02T03:50:21+00:00,,80.34,TRUE
Bitget and Obside Partner to Launch Live AI Trading Arena for Copy Trading,EODHD,2026-03-02T03:41:00+00:00,,25.15,FAKE
Best Buy (BBY) Reports Earnings Tomorrow: What To Expect,EODHD,2026-03-02T03:31:15+00:00,,90.45,TRUE
Ampol's Proposed Acquisition Of EG Australia Moves To ACCC Phase 2 Review,EODHD,2026-03-02T03:29:07+00:00,,80.34,TRUE
AUD/JPY trades above 111.00 after paring recent losses,EODHD,2026-03-02T03:25:32+00:00,,80.34,TRUE
NZD/USD recovers early lost ground; climbs back closer to 0.6000 amid modest USD pullback,EODHD,2026-03-02T03:21:28+00:00,,87.72,TRUE
WuXi Biologics Included in S&amp;P Global Sustainability Yearbook for Fourth Consecutive Year,EODHD,2026-03-02T03:21:00+00:00,,87.31,TRUE
"Bitcoin at $150,000 by 2026? Prediction Markets Are Skeptical -- Long-Term Investors Should Pay Attention to the Odds.",EODHD,2026-03-02T03:20:00+00:00,,80.34,TRUE
Australian Market Maintains Early Losses In Mid-market,EODHD,2026-03-02T03:15:31+00:00,,87.31,TRUE
Chow Tai Fook Jewellery Appoints David Tse as Global Creative Director,EODHD,2026-03-02T03:15:00+00:00,,87.31,TRUE
Alphabet’s Mapping Breakthrough And Clean Energy Push Reshape Growth Prospects,EODHD,2026-03-02T03:14:43+00:00,,93.65,TRUE
Assessing HSBC (LSE:HSBA) Valuation As Share Price Momentum Meets Conflicting Fair Value Estimates,EODHD,2026-03-02T03:14:21+00:00,,80.34,TRUE
Is Owens Corning (OC) Pricing In Too Much Pessimism After Recent Share Price Weakness,EODHD,2026-03-02T03:14:08+00:00,,80.34,TRUE
Reassessing Automatic Data Processing (ADP) After A 30% One-Year Share Price Slide,EODHD,2026-03-02T03:13:18+00:00,,80.34,TRUE
Intuit Anthropic AI Pact Tests Growth Story For Mid Market Investors,EODHD,2026-03-02T03:12:55+00:00,,84.74,TRUE
Is It Time To Reassess Home Depot (HD) After Recent Share Price Strength?,EODHD,2026-03-02T03:12:29+00:00,,80.34,TRUE
Viking (VIK) Q4 Earnings Report Preview: What To Look For,EODHD,2026-03-02T03:01:15+00:00,,87.59,TRUE
Stephen Pearce Assumes Role As South32 Chair Following Karen Wood's Retirement,EODHD,2026-03-02T03:00:29+00:00,,80.34,TRUE
Agoda Revealed Thailand's Popular Valentine's Day Destinations,EODHD,2026-03-02T03:00:00+00:00,,80.34,TRUE
SynaXG Proves the Art of the Possible with Fully Software-Defined AI-RAN on NVIDIA AI Aerial,EODHD,2026-03-02T03:00:00+00:00,,56.51,TRUE
"Red Hat and Telenor AI Factory Bring Scale, Sovereignty and Control to Production AI",EODHD,2026-03-02T03:00:00+00:00,,56.51,TRUE
Mitsui Garden Hotel Sapporo Reopens Following Comprehensive Transformation,EODHD,2026-03-02T03:00:00+00:00,,80.34,TRUE
Red Hat Drives Telefónica Spain’s Network and IT Transformation with Red Hat OpenShift as its Common Platform,EODHD,2026-03-02T03:00:00+00:00,,80.34,TRUE
Think You Can Ignore Your RMDs? Here's How That Mistake Could Cost You Thousands.,EODHD,2026-03-02T02:56:00+00:00,,80.34,TRUE
How Will Stocks React to the U.S. Attack on Iran?,EODHD,2026-03-02T02:50:31+00:00,,90.36,TRUE
EUR/JPY declines below 184.50 as geopolitical risks boost Japanese Yen,EODHD,2026-03-02T02:50:26+00:00,,80.34,TRUE
"Rupee to fall past 91 as Iran war puts oil on the boil, saps risk appetite",EODHD,2026-03-02T02:42:48+00:00,,51.46,TRUE
Indian Shares Set To Tumble As Oil Prices Spike Amid West Asia Tensions,EODHD,2026-03-02T02:40:33+00:00,,90.53,TRUE
QuidelOrtho Corp Director Purchases 10k Shares as CFO Retires,EODHD,2026-03-02T02:38:48+00:00,,80.34,TRUE
"Euro sags, dollar gains as Iran war lifts energy prices",EODHD,2026-03-02T02:28:02+00:00,,80.34,TRUE
Lenovo Unveils Adaptive AI Devices And Lenovo Qira,EODHD,2026-03-02T02:26:53+00:00,,56.51,TRUE
XRP Plunges 26% As Crypto Market Faces Fresh Headwinds,EODHD,2026-03-02T02:20:00+00:00,,87.31,TRUE
"Crude soars, stocks drop after US strikes on Iran",EODHD,2026-03-02T02:12:48+00:00,,90.36,TRUE
Is Las Vegas Sands (LVS) Fairly Priced After Mixed Returns And Conflicting Valuation Signals,EODHD,2026-03-02T02:12:32+00:00,,73.16,TRUE
Assessing GE HealthCare Technologies (GEHC) Valuation After Recent Share Price Momentum,EODHD,2026-03-02T02:11:09+00:00,,80.34,TRUE
Cleveland Cliffs Board Shifts Oversight As Shares Flagged Undervalued,EODHD,2026-03-02T02:10:53+00:00,,80.34,TRUE
A Look At Universal Health Services (UHS) Valuation After A Strong 2025 Earnings Report And Guidance,EODHD,2026-03-02T02:10:28+00:00,,89.84,TRUE
Has Dollar Tree (DLTR) Run Too Far After A 74% One Year Share Price Jump?,EODHD,2026-03-02T02:10:27+00:00,,80.34,TRUE
Is Accor (ENXTPA:AC) Pricing In Travel Demand Strength Or Leaving Upside On The Table?,EODHD,2026-03-02T02:09:58+00:00,,80.34,TRUE
Forvia Halts 2026 Dividend As Deleveraging Takes Priority Over Payouts,EODHD,2026-03-02T02:09:25+00:00,,80.34,TRUE
InnoCare’s next-generation TRKi Zurletrectinib Receives Priority Review for the Treatment of Pediatric Patients with Solid Tumors in China,EODHD,2026-03-02T02:03:00+00:00,,80.34,TRUE
Thai Stock Market May Extend Friday's Losses,EODHD,2026-03-02T02:01:20+00:00,,71.49,TRUE
GBP/USD Price Forecast: Targets 1.3500 barrier near moving averages,EODHD,2026-03-02T01:59:40+00:00,,80.34,TRUE
Oil Prices Soar Amid Escalating Middle East Conflict,EODHD,2026-03-02T01:58:35+00:00,,87.72,TRUE
2 Millionaire-Maker Artificial Intelligence (AI) Stocks,EODHD,2026-03-02T01:50:00+00:00,,77.2,TRUE
"Dow Jones Futures Off Lows, Oil Prices Jump Amid U.S.-Iran Attacks",EODHD,2026-03-02T01:37:44+00:00,,87.72,TRUE
Indonesia Bourse Tipped To Remain Rangebound,EODHD,2026-03-02T01:31:19+00:00,,80.34,TRUE
Makler Service AG Launches Real Estate Talk Arabia,EODHD,2026-03-02T01:31:00+00:00,,80.34,TRUE
Century Aluminum EVP Sells $2.3M Worth of Shares,EODHD,2026-03-02T01:27:06+00:00,,80.34,TRUE
Anthropic’s Claude tops App Store charts as backlash builds against OpenAI’s ChatGPT,Finnhub,1772415120,,80.34,TRUE
How to think about everything presumably wrong with stocks and what to do about it,Finnhub,1772407242,,90.36,TRUE
Prediction-market bets tied to Iran conflict stoke backlash over suspicions of insider trading,Finnhub,1772397060,,29.87,FAKE
Here’s where traders expect crude-oil prices to open after this weekend’s attack on Iran,Finnhub,1772392620,,80.34,TRUE
U.S. crude oil set to top $70 a barrel when trading begins on fears of Iran supply disruption,Finnhub,1772389726,,37.87,FAKE
The whole world is watching this critical energy chokepoint as Iran conflict enters more dangerous phase,Finnhub,1772389080,,80.34,TRUE
Stocks face Iran jitters and a crucial jobs report in the week ahead as AI layoffs loom large,Finnhub,1772384400,,77.2,TRUE
Here are the 5 big things we're watching in the stock market this week,Finnhub,1772379864,,71.49,TRUE
"Has the retail industry rebounded? We’ll find out this week from Target, Costco, Best Buy and others’ earnings",Finnhub,1772377200,,89.42,TRUE
"As investors wait for crude-oil trading to reopen amid Iran conflict, shares of the world’s biggest producer are climbing",Finnhub,1772373780,,67.98,TRUE
A big AI worry? It will destroy old jobs faster than it creates new ones. The only thing lacking is proof.,Finnhub,1772373600,,76.26,TRUE
$100 oil? Prolonged Hormuz closure could spark a 1970s-style energy shock,Finnhub,1772362672,,80.34,TRUE
Here’s how much you could pay for a gallon of gas by May because of the attacks on Iran,Finnhub,1772355840,,80.34,TRUE
Iran strikes disrupt thousands of flights; Dubai Airport damaged,Finnhub,1772338387,,80.34,TRUE
Drone warfare could mean investors need a new guidebook for this Iran conflict,Finnhub,1772317860,,89.25,TRUE
Middle Eastern airports are crossroads of the world. Here’s how the U.S.-Israel attack on Iran will sow chaos on air travel.,Finnhub,1772308200,,80.34,TRUE
Iran conflict raises talk of a return to $100-a-barrel oil,Finnhub,1772307540,,80.34,TRUE
Stanley Druckenmiller says this is how he’d build a portfolio from scratch right now,Finnhub,1772293080,,80.34,TRUE
"This could be Nvidia’s next big move, with the stock in search of a positive catalyst",Finnhub,1772292240,,47.36,FAKE
Berkshire Hathaway shrinks cash pile in Buffett’s last act as CEO. Here’s how successor Greg Abel is now looking to spend.,Finnhub,1772290920,,80.34,TRUE
"Worried about the job market or stuck in a toxic workplace? These 2 movies can feel like 'catharsis,' workplace psychologist says",Finnhub,1772288101,,87.31,TRUE
‘Can’t sell house’ searches are higher now than during the 2008 housing crisis,Finnhub,1772287200,,80.34,TRUE
"With free storage at max from Google to Shutterfly to Snap, the price for your memories is rising",Finnhub,1772285401,,80.34,TRUE
"The week, FOBO — ‘fear of becoming obsolete’ because of AI — became real for workers and markets",Finnhub,1772285400,,56.51,TRUE
NASA is sending its first Black and first female astronauts to the moon,Finnhub,1772283601,,80.34,TRUE
My boss told me to dress better. Now I feel uncomfortable. He is a white man and I am a Black woman.,Finnhub,1772283600,,80.34,TRUE
Can China just steal America’s AI brain that’s costing trillions to develop?,Finnhub,1772283600,,56.51,TRUE
‘I dread the snow’: My heating and air conditioning always breaks down. Do I spend $15K on a new one?,Finnhub,1772282700,,89.25,TRUE
These fintech stocks are loved by analysts and could bounce back in a big way,Finnhub,1772281800,,90.36,TRUE
Any chance the Fed cuts rates this year is ‘evaporating before our very eyes’ as Iran tensions raise oil prices,Finnhub,1772280000,,80.34,TRUE
Iran strikes will likely boost defense stocks — but here’s what will keep the cash flowing long after the conflict ends,Finnhub,1772273520,,90.36,TRUE
Trump says ‘massive’ strike against Iran underway — bitcoin plunge offers a glimpse of how markets could react,Finnhub,1772269020,,80.34,TRUE
Bharat Biotech is said to mull $500 million IPO,Finnhub,1772254219,,80.34,TRUE
OpenAI gives Pentagon access to models after Anthropic dustup,Finnhub,1772254110,,80.34,TRUE
"NASA shakes up moon mission with more tests, scrapped upgrade",Finnhub,1772252735,,80.34,TRUE
JPMorgan warns up to $150 billion of loans in CLOs face AI risk,Finnhub,1772251230,,41.35,FAKE
Private-credit ‘cockroaches’ and the AI ‘scare trade’ hammered stocks in February. Here’s what else has investors shaken up.,Finnhub,1772235000,,77.2,TRUE
"Here’s what’s worth streaming in March 2026 on Netflix, Hulu, HBO Max and more",Finnhub,1772232660,,80.34,TRUE
